fov_id,tile_index,x,y,predicted_probability
2 (16).jpg,35,1930,768,0.07591231912374496
2 (16).jpg,36,0,1024,0.2032361924648285
2 (16).jpg,37,256,1024,0.259133517742157
2 (16).jpg,38,512,1024,0.7969174385070801
2 (16).jpg,39,768,1024,0.6828615665435791
2 (16).jpg,40,1024,1024,0.8365358114242554
2 (16).jpg,41,1280,1024,0.79279625415802
2 (16).jpg,42,1536,1024,0.622363805770874
2 (16).jpg,43,1792,1024,0.3239591419696808
2 (16).jpg,44,1930,1024,0.06603582203388214
2 (16).jpg,45,0,1280,0.8720371723175049
2 (16).jpg,46,256,1280,0.444439172744751
2 (16).jpg,47,512,1280,0.6162604093551636
2 (16).jpg,48,768,1280,0.7744582295417786
2 (16).jpg,49,1024,1280,0.6063430309295654
2 (16).jpg,50,1280,1280,0.5928418040275574
2 (16).jpg,51,1536,1280,0.6270471811294556
2 (16).jpg,52,1792,1280,0.3836296498775482
2 (16).jpg,53,1930,1280,0.09060810506343842
2 (16).jpg,54,0,1530,0.5297151207923889
2 (16).jpg,55,256,1530,0.71108078956604
2 (16).jpg,56,512,1530,0.6205692291259766
2 (16).jpg,57,768,1530,0.4048641622066498
2 (16).jpg,58,1024,1530,0.3267057240009308
2 (16).jpg,59,1280,1530,0.5917288064956665
2 (16).jpg,60,1536,1530,0.45419758558273315
2 (16).jpg,61,1792,1530,0.3588275909423828
2 (16).jpg,62,1930,1530,0.6149126887321472
2 (17).jpg,0,0,0,0.08574620634317398
2 (17).jpg,1,256,0,0.25746583938598633
2 (17).jpg,2,512,0,0.5053620934486389
2 (17).jpg,3,768,0,0.46805238723754883
2 (17).jpg,4,1024,0,0.7859107851982117
2 (17).jpg,5,1280,0,0.6402391791343689
2 (17).jpg,6,1536,0,0.7379903793334961
2 (17).jpg,7,1792,0,0.07542186230421066
2 (17).jpg,8,1930,0,0.09903550893068314
2 (17).jpg,9,0,256,0.7945274114608765
2 (17).jpg,10,256,256,0.503625214099884
2 (17).jpg,11,512,256,0.35388216376304626
2 (17).jpg,12,768,256,0.41573286056518555
2 (17).jpg,13,1024,256,0.6025367379188538
2 (17).jpg,14,1280,256,0.34849029779434204
2 (17).jpg,15,1536,256,0.3274678885936737
2 (17).jpg,16,1792,256,0.033352840691804886
2 (17).jpg,17,1930,256,0.08560693264007568
2 (17).jpg,18,0,512,0.5710806846618652
2 (17).jpg,19,256,512,0.38807177543640137
2 (17).jpg,20,512,512,0.27731046080589294
2 (17).jpg,21,768,512,0.18798382580280304
2 (17).jpg,22,1024,512,0.1692817211151123
2 (17).jpg,23,1280,512,0.17191119492053986
2 (17).jpg,24,1536,512,0.25386789441108704
2 (17).jpg,25,1792,512,0.3642677664756775
2 (17).jpg,26,1930,512,0.4345210790634155
2 (17).jpg,27,0,768,0.04717354476451874
2 (17).jpg,28,256,768,0.4702491760253906
2 (17).jpg,29,512,768,0.28175607323646545
2 (17).jpg,30,768,768,0.1901274472475052
2 (17).jpg,31,1024,768,0.10221194475889206
2 (17).jpg,32,1280,768,0.0794154480099678
2 (17).jpg,33,1536,768,0.21697112917900085
2 (17).jpg,34,1792,768,0.218660369515419
2 (17).jpg,35,1930,768,0.2535819113254547
2 (17).jpg,36,0,1024,0.05928967148065567
2 (17).jpg,37,256,1024,0.39129459857940674
2 (17).jpg,38,512,1024,0.12783801555633545
2 (17).jpg,39,768,1024,0.168698251247406
2 (17).jpg,40,1024,1024,0.3228098154067993
2 (17).jpg,41,1280,1024,0.46790197491645813
2 (17).jpg,42,1536,1024,0.12324784696102142
2 (17).jpg,43,1792,1024,0.10972309112548828
2 (17).jpg,44,1930,1024,0.08386582136154175
2 (17).jpg,45,0,1280,0.31870782375335693
2 (17).jpg,46,256,1280,0.48845916986465454
2 (17).jpg,47,512,1280,0.1513364166021347
2 (17).jpg,48,768,1280,0.30368754267692566
2 (17).jpg,49,1024,1280,0.5769997239112854
2 (17).jpg,50,1280,1280,0.2628020942211151
2 (17).jpg,51,1536,1280,0.0923420861363411
2 (17).jpg,52,1792,1280,0.0466972179710865
2 (17).jpg,53,1930,1280,0.04154804348945618
